SKU,Name,Price,Rating,CategoryId,IsActive,CreatedAt
SKU000001,Item 1,10.99,4.3,1,true,2024-01-01T10:00:00Z
SKU000002,Item 2,11.49,3.8,2,false,2024-01-02T10:00:00Z
SKU000003,Item 3,12.99,4.1,3,true,2024-01-03T10:00:00Z
SKU000004,Item 4,13.49,4.7,4,true,2024-01-04T10:00:00Z
SKU000005,Item 5,14.99,3.9,5,false,2024-01-05T10:00:00Z
SKU000006,Item 6,15.49,4.0,6,true,2024-01-06T10:00:00Z
SKU000007,Item 7,15.99,4.4,1,true,2024-01-07T10:00:00Z
SKU000008,Item 8,16.49,3.7,2,true,2024-01-08T10:00:00Z
SKU000009,Item 9,16.99,4.5,3,false,2024-01-09T10:00:00Z
SKU000010,Item 10,17.49,4.6,4,true,2024-01-10T10:00:00Z
SKU000011,Item 11,17.99,4.2,5,true,2024-01-11T10:00:00Z
SKU000012,Item 12,18.49,3.8,6,true,2024-01-12T10:00:00Z
SKU000013,Item 13,18.99,4.3,1,false,2024-01-13T10:00:00Z
SKU000014,Item 14,19.49,4.1,2,true,2024-01-14T10:00:00Z
SKU000015,Item 15,19.99,4.5,3,true,2024-01-15T10:00:00Z
SKU000016,Item 16,20.49,4.0,4,false,2024-01-16T10:00:00Z
SKU000017,Item 17,20.99,3.7,5,true,2024-01-17T10:00:00Z
SKU000018,Item 18,21.49,4.6,6,true,2024-01-18T10:00:00Z
SKU000019,Item 19,21.99,4.2,1,true,2024-01-19T10:00:00Z
SKU000020,Item 20,22.49,3.9,2,false,2024-01-20T10:00:00Z
SKU000021,Item 21,22.99,4.4,3,true,2024-01-21T10:00:00Z
SKU000022,Item 22,23.49,4.3,4,true,2024-01-22T10:00:00Z
SKU000023,Item 23,23.99,3.8,5,true,2024-01-23T10:00:00Z
SKU000024,Item 24,24.49,4.7,6,false,2024-01-24T10:00:00Z
SKU000025,Item 25,24.99,4.2,1,true,2024-01-25T10:00:00Z
SKU000026,Item 26,25.49,4.1,2,true,2024-01-26T10:00:00Z
SKU000027,Item 27,25.99,3.9,3,true,2024-01-27T10:00:00Z
SKU000028,Item 28,26.49,4.4,4,false,2024-01-28T10:00:00Z
SKU000029,Item 29,26.99,4.2,5,true,2024-01-29T10:00:00Z
SKU000030,Item 30,27.49,4.6,6,true,2024-01-30T10:00:00Z
SKU000031,Item 31,27.99,4.0,1,true,2024-01-31T10:00:00Z
SKU000032,Item 32,28.49,3.8,2,true,2024-02-01T10:00:00Z
SKU000033,Item 33,28.99,4.7,3,false,2024-02-02T10:00:00Z
SKU000034,Item 34,29.49,4.3,4,true,2024-02-03T10:00:00Z
SKU000035,Item 35,29.99,3.7,5,true,2024-02-04T10:00:00Z
SKU000036,Item 36,30.49,4.5,6,true,2024-02-05T10:00:00Z
SKU000037,Item 37,30.99,4.1,1,false,2024-02-06T10:00:00Z
SKU000038,Item 38,31.49,4.2,2,true,2024-02-07T10:00:00Z
SKU000039,Item 39,31.99,3.9,3,true,2024-02-08T10:00:00Z
SKU000040,Item 40,32.49,4.4,4,false,2024-02-09T10:00:00Z
SKU000041,Item 41,32.99,4.3,5,true,2024-02-10T10:00:00Z
SKU000042,Item 42,33.49,3.8,6,true,2024-02-11T10:00:00Z
SKU000043,Item 43,33.99,4.7,1,true,2024-02-12T10:00:00Z
SKU000044,Item 44,34.49,4.2,2,false,2024-02-13T10:00:00Z
SKU000045,Item 45,34.99,4.0,3,true,2024-02-14T10:00:00Z
SKU000046,Item 46,35.49,3.9,4,true,2024-02-15T10:00:00Z
SKU000047,Item 47,35.99,4.4,5,true,2024-02-16T10:00:00Z
SKU000048,Item 48,36.49,4.1,6,false,2024-02-17T10:00:00Z
SKU000049,Item 49,36.99,4.6,1,true,2024-02-18T10:00:00Z
SKU000050,Item 50,37.49,4.2,2,true,2024-02-19T10:00:00Z
SKU000051,Item 51,37.99,4.1,3,true,2024-02-20T10:00:00Z
